device,value,footprint,quantity,refdes,partnumber
CONNECTOR_8,unknown,SIP8,1,CONN4,732-5321-ND
FREQUENCY_SYNTHESIZER,LMX2326,TSSOP16,1,U3,N/A - in stock
Ferrite bead,unknown,0805,2,FB2,732-1620-1-ND
WIDEBAND_AMPLIFIER,BGA2869,SOT363,1,AMP1,568-8535-1-ND
INVERTING_SCHMITT_TRIGGER,SN74LVC1G14,SOT23,1,U1,296-11607-1-ND
RESISTOR,56k,0805,1,R16,311-56.0KCRCT-ND
BNC,unknown,SIP2,1,CONN3,732-5315-ND
4066,SN74HC4066,TSSOP14,1,U2,296-8330-1-ND
VARIABLE_RESISTOR,20k,unknown,1,R13,ST4ETA203CT-ND
RESISTOR,10k,0805,2,R14,311-10.0KCRCT-ND
RESISTOR,22k,0805,1,R15,311-22.0KCRCT-ND
CAPACITOR,1uF,0805,4,C9,490-1691-1-ND
RESISTOR,1k,0805,3,R12,311-1.00KCRCT-ND
RESISTOR,390,0805,1,R9,311-390CRCT-ND
RESISTOR,3.9k,0805,1,R10,311-3.90KCRCT-ND
RESISTOR,2.2k,0805,1,R8,311-2.20KCRCT-ND
CAPACITOR,4.7uF,0805,1,C8,490-3338-1-ND
RESISTOR,100,0805,1,R7,311-100CRCT-ND
CAPACITOR,0.001uF,0805,1,C7,490-13417-1-ND
NPN_TRANSISTOR,BSV52,SOT23,1,Q2,BSV52CT-ND
NPN_TRANSISTOR,MMBT5179,SOT23,1,Q1,MMBT5179CT-ND
RESISTOR,36k,0805,1,R6,311-36.0KCRCT-ND
RESISTOR,820,0805,1,R4,311-820CRCT-ND
RESISTOR,8.2k,0805,1,R5,311-8.20KCRCT-ND
CAPACITOR,0.1uF,0805,5,C3,490-10782-1-ND
NFET_TRANSISTOR,J300,TO92,1,J1,BF256BFS-ND
RESISTOR,1M,0805,1,R2,311-1.00MCRCT-ND
DIODE,TS4148C,603,4,D3,TS4148C RZGCT-ND
CAPACITOR,100pF,0805,2,C2,490-1600-1-ND
CAPACITOR,0.01uF,0805,3,C13,490-1642-1-ND
RESISTOR,100k,0805,1,R20,311-100KCRCT-ND
RESISTOR,47,0805,2,R22,311-47.0CRCT-ND
RESISTOR,270,0805,2,R17,311-270CRCT-ND
RESISTOR,18,0805,1,R18,311-18.0CRCT-ND
INDUCTOR,10uH,0805,1,L1,445-6396-1-ND
BNC,unknown,BNC_VERT,2,CONN1,A97555-ND